Sigla	Código	Estado	1976	1977	1978	1979	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1992	1993	1995	1996	1997	1998	1999	2001	2002	2003	2004	2005	2006	2007	2008	2009	2011	2012	2013	2014
AC	12	Acre	17389	18261	15066	21792	23347	25993	30610	39117	16046	6947	24562	47573	30350	48965	60910	57492	38659	43173	63519	64117	73322	75322	74339	93370	143491	146843	113474	157833	91922	97612	78566	78855	72469	67363
AL	27	Alagoas	660428	536924	633238	522504	542402	555683	825455	830466	665315	393626	846660	897294	915179	916428	888676	1160994	782669	890737	780817	847460	972573	1055157	1070274	1135933	1042581	946177	790927	715101	725151	677867	472609	347171	407394	399675
AM	13	Amazonas	75919	57200	141816	45922	48057	66138	151208	121051	132092	66704	75064	179772	132910	117249	435590	391417	307022	245157	329510	470027	435991	487935	497348	501230	626490	392286	443100	578137	436325	333527	397000	345350	369357	259273
AP	16	Amapá	22355	20137	11970	7371	21742	13270	19019	10248	7792	0	8493	6588	9382	12044	51155	55468	47704	32175	62181	73413	90531	42144	84508	113726	109970	68020	61807	77317	39316	55950	61342	52254	55767	18580
BA	29	Bahia	2643453	2606521	2939267	2250657	2602132	3238549	3829635	3706884	3277661	1603527	3359766	4053827	3769959	4480819	4306645	4653413	3804161	4145618	3895008	3566113	3556144	3988479	3916559	4160184	3378609	3015281	2547395	2406856	2179443	2037599	1843061	1623380	1497727	1160508
CE	23	Ceará	2098141	1785769	2459891	2086911	2335295	2457145	2890112	2516077	2568845	1189312	2409192	2836577	2850050	2828804	2711508	2525528	2152823	2314388	2334194	2134921	2278784	2252762	2019136	2201543	2069790	1950738	1625764	1546241	1138074	1233824	1175435	977735	927434	812638
DF	53	Distrito Federal	42165	38438	53698	53888	86818	79800	142785	137709	132478	50175	67348	103274	98165	85091	153815	164796	81431	120079	105671	131356	155497	166977	177776	236800	198015	135009	105844	85840	88660	70596	74818	71319	59239	34765
ES	32	Espírito Santo	189809	75359	160285	135133	203362	208863	313399	296172	245345	70539	323676	508076	429907	485452	380087	369116	281889	255184	304998	303872	281557	317980	248170	255169	191603	210703	154527	123603	124365	122359	101059	73754	122267	58779
GO	52	Goiás	170886	162818	220072	132693	673130	561625	723341	531260	540972	135744	432238	583087	511243	618052	504739	488172	464919	376955	362615	340523	423515	406232	375346	440458	264659	306126	215699	221676	201079	204316	140919	112130	136673	66398
MA	21	Maranhão	1748954	1505027	2011861	1910611	1770233	1622716	2102384	1943883	2065505	1214113	1971599	2081094	2272314	2199638	1337321	2279318	2043362	1945166	2353085	2070783	1927049	2058992	1871372	2146171	2199174	1753304	1704414	1525002	1152127	1188589	1254832	1165380	1174693	848670
MG	31	Minas Gerais	1520413	1228673	1771552	1205102	1807051	2201612	2602844	2500040	2024017	704825	1922468	2391247	1958925	2210150	2403958	2219831	1634031	1652971	1699330	1649290	1682249	1671437	1541674	1572255	1174461	955329	757696	737251	657833	624043	498074	459006	504672	462464
MS	50	Mato Grosso do Sul					128559	105738	201362	131082	113178	30350	75250	197187	177628	164858	192606	212639	142033	189809	167924	120201	179416	173843	139992	143817	142532	146682	104966	74963	72283	63147	48883	39425	57426	29083
MT	51	Mato Grosso	67104	58061	102074	62282	108960	134041	183189	227261	112215	43362	183669	258325	229115	206825	302587	223836	214702	248405	189742	177734	171962	229687	214223	216629	129420	157887	139258	123191	111991	126634	53013	61279	113402	44560
PA	15	Pará	319078	293314	363979	326532	257801	286322	376750	362648	309887	152738	336169	512680	482732	496823	749309	645074	471311	628116	622747	558612	641123	797281	773518	850106	1188891	1119429	924569	820763	690379	804484	915008	672323	669388	549935
PB	25	Paraíba	1026311	1148725	1489202	1234917	1301734	1285677	1401908	1347699	1372836	830727	1215908	1525126	1500304	1436968	1352562	1367204	893400	953192	1038014	919663	998988	1076750	922176	970155	966606	758278	576461	653122	585161	549539	340173	306067	319867	294604
PE	26	Pernambuco	1899067	1826982	2144328	1813013	1778044	1715760	2396006	2561500	2152379	1096841	1988166	2588990	2339731	2490340	2701373	2670029	1838990	2046824	2204462	1917429	2272555	2487115	2324817	2665465	2474851	2095540	1820167	1670833	1537481	1468622	1106995	862570	858085	759095
PI	22	Piauí	1109667	1077242	1279338	1121456	1240024	1374667	1409758	1391330	1443099	871111	1365717	1513511	1459727	1488412	1301830	1205849	996799	1060591	1110550	1026368	1029302	962669	994630	1077811	858127	887912	749496	637121	557210	464265	380319	272184	290638	303253
PR	41	Paraná	1393157	882916	1500551	1356351	1050169	1332634	1745974	1550112	1183473	583405	1195016	1421989	1257845	1510054	1495275	1100856	1110830	920437	891865	980186	1086852	1000395	770975	840225	714090	621674	524701	403278	383834	373863	240460	224406	214352	159243
RJ	33	Rio de Janeiro	993943	610321	1126228	567257	893183	836524	1280134	1558573	1245230	484633	974317	1174614	1493607	1432256	1097294	1537318	936774	974421	839160	811959	843830	1133180	861546	1109863	970886	908743	663714	737593	595158	553630	481337	550140	565135	325043
RN	24	Rio Grande do Norte	648266	610253	703960	492970	664859	611908	1012953	988637	876828	480859	812261	842282	854665	910432	900603	911374	618821	693320	640249	596610	704243	728292	697438	730640	692072	600515	465472	474672	404287	333122	347053	251623	249600	226692
RO	11	Rondônia	14670	5618	3348	10461	23031	9513	31918	31858	16158	13384	46611	101738	89335	78813	119606	101426	93510	87579	90806	66297	103249	136517	133602	113149	126285	192033	157466	155293	129478	114198	95632	69681	82522	58433
RR	14	Roraima	3384	6285	2951	5952	1032	1439	757	1374	4458	0	4131	4880	1728	786	12105	19115	4573	14584	11328	28821	22718	43525	60020	46504	122212	80648	44139	54209	39266	38953	25425	28550	24315	16536
RS	43	Rio Grande do Sul	901821	614372	1009636	845406	800870	746108	1213011	1014845	763017	387059	900041	1291421	1038616	1079562	828509	894246	802848	948759	846588	788498	943900	848605	850371	868413	755303	710606	585828	575432	396196	376825	334236	285610	303063	222430
SC	42	Santa Catarina	428420	318482	482118	290861	279881	404569	574293	492547	384315	164188	367631	596244	389250	428902	406936	351210	332137	322600	282397	357193	366984	249782	191266	226695	180516	145616	99523	93227	100465	102899	110410	86723	103030	61204
SE	28	Sergipe	337798	322357	418341	289353	392006	301125	473429	427295	401318	188074	349626	517864	449521	411077	491798	496075	398232	388218	453198	393962	443067	484476	433237	478700	388209	409172	301367	299645	266205	280663	165728	149324	134497	107714
SP	35	São Paulo	780772	616604	1452622	651882	1205805	1246169	2373178	2137299	1640838	542122	1091193	1462591	1370150	1520757	2378440	2340518	1593669	1489278	1645960	1559028	1984047	2382718	2354203	2778563	2236815	1978448	1466123	1382576	1194966	1187057	916569	826988	1046135	752748
TO	17	Tocantins															389252	297083	343311	332631	350815	301368	285253	262593	263764	269098	231437	196221	171458	173268	134273	113423	113692	87998	93236	91322
