Sigla	Código	Município	1991	2000	2010
AC	1200013	Acrelândia	55.59	51.78	36.56
AC	1200054	Assis Brasil	58.49	57.08	44.09
AC	1200104	Brasiléia	63.85	48.49	35.22
AC	1200138	Bujari	51.74	61.62	37.61
AC	1200179	Capixaba	56.27	56.03	35
AC	1200203	Cruzeiro do Sul	62.55	51.23	34.51
AC	1200252	Epitaciolândia	56.32	45.9	29.44
AC	1200302	Feijó	74.77	77.93	54.93
AC	1200328	Jordão	93.79	90.76	69.69
AC	1200336	Mâncio Lima	75.1	67.16	45.68
AC	1200344	Manoel Urbano	84.37	64.1	38.12
AC	1200351	Marechal Thaumaturgo	88.53	80.57	63.82
AC	1200385	Plácido de Castro	66.49	52.56	36.79
AC	1200393	Porto Walter	89.57	67.31	53.25
AC	1200401	Rio Branco	32.78	27.27	14.38
AC	1200427	Rodrigues Alves	84.3	68.92	60.87
AC	1200435	Santa Rosa do Purus	81.23	88.51	73.4
AC	1200450	Senador Guiomard	54.66	41.44	23.3
AC	1200500	Sena Madureira	68.78	60.33	37.59
AC	1200609	Tarauacá	77.69	71.28	54.76
AC	1200708	Xapuri	59.93	54.66	33.64
AC	1200807	Porto Acre	70.58	49.3	41.47
AL	2700102	Água Branca	83.17	72.53	52.87
AL	2700201	Anadia	81.42	67.72	47.59
AL	2700300	Arapiraca	55.43	48.59	26.65
AL	2700409	Atalaia	79.82	68.1	42.73
AL	2700508	Barra de Santo Antônio	81.17	67.39	44.24
AL	2700607	Barra de São Miguel	71.16	50.72	23.89
AL	2700706	Batalha	74.43	65.92	39.85
AL	2700805	Belém	82.17	65.35	37.05
AL	2700904	Belo Monte	87.84	77.23	60.98
AL	2701001	Boca da Mata	69.07	67.38	42.95
AL	2701100	Branquinha	86.02	75.95	40.52
AL	2701209	Cacimbinhas	80.37	74.36	48.26
AL	2701308	Cajueiro	79.81	69.21	40.86
AL	2701357	Campestre	80.79	60.91	39.34
AL	2701407	Campo Alegre	68.08	73	43.67
AL	2701506	Campo Grande	92.85	79.7	57.5
AL	2701605	Canapi	85.5	83.63	60.69
AL	2701704	Capela	80.11	73.61	43.45
AL	2701803	Carneiros	81.75	70.42	54.21
AL	2701902	Chã Preta	84.52	77.6	49.05
AL	2702009	Coité do Nóia	79.94	74.86	49.16
AL	2702108	Colônia Leopoldina	78.06	64.78	45.62
AL	2702207	Coqueiro Seco	61.95	60.04	31.06
AL	2702306	Coruripe	70.24	57.58	33.79
AL	2702355	Craíbas	79.14	71.2	51.16
AL	2702405	Delmiro Gouveia	68.86	53.15	33.1
AL	2702504	Dois Riachos	84.3	67.99	57.39
AL	2702553	Estrela de Alagoas	84.82	77.62	52.35
AL	2702603	Feira Grande	82.26	73.61	55.98
AL	2702702	Feliz Deserto	81.02	72	41.07
AL	2702801	Flexeiras	81.27	71.81	42.93
AL	2702900	Girau do Ponciano	85.1	78.49	59.05
AL	2703007	Ibateguara	81.61	70.19	54.97
AL	2703106	Igaci	83.34	78.31	47.63
AL	2703205	Igreja Nova	86.49	76.33	51.79
AL	2703304	Inhapi	88.26	80.34	65.08
AL	2703403	Jacaré dos Homens	79.04	70.59	46.94
AL	2703502	Jacuípe	72.14	72.69	44.58
AL	2703601	Japaratinga	80.67	68.44	41.76
AL	2703700	Jaramataia	87.35	76.01	50.05
AL	2703759	Jequiá da Praia	74.41	70.22	51.14
AL	2703809	Joaquim Gomes	83.77	80.14	50.96
AL	2703908	Jundiá	69.34	72.46	38.28
AL	2704005	Junqueiro	74.68	69.49	40.18
AL	2704104	Lagoa da Canoa	82.06	71.51	47.44
