Sigla;Código;Município;1991;2000;2010
AC;1200013;Acrelândia;26.93;27.43;18.09
AC;1200054;Assis Brasil;24.55;37.77;30.66
AC;1200104;Brasiléia;33.96;27.64;17.09
AC;1200138;Bujari;28.12;32.16;20.68
AC;1200179;Capixaba;29.05;22.87;17.89
AC;1200203;Cruzeiro do Sul;34.46;29.62;18.08
AC;1200252;Epitaciolândia;26.26;17.63;13.02
AC;1200302;Feijó;45.42;55.84;36.51
AC;1200328;Jordão;71.49;77.22;49.17
AC;1200336;Mâncio Lima;47.47;44.21;28.99
AC;1200344;Manoel Urbano;54.79;42.26;25.44
AC;1200351;Marechal Thaumaturgo;59.67;57.72;39.31
AC;1200385;Plácido de Castro;42.92;23.17;18.76
AC;1200393;Porto Walter;68.07;36.88;34.92
AC;1200401;Rio Branco;13.01;10.59;4.85
AC;1200427;Rodrigues Alves;66.95;44.87;40.9
AC;1200435;Santa Rosa do Purus;52.93;63.89;63.05
AC;1200450;Senador Guiomard;24.97;17.09;8.29
AC;1200500;Sena Madureira;45.37;34.94;21.19
AC;1200609;Tarauacá;51.48;45.51;34.59
AC;1200708;Xapuri;32.05;26.98;19.07
AC;1200807;Porto Acre;36.23;23.23;21.4
AL;2700102;Água Branca;65.01;53.58;33.3
AL;2700201;Anadia;44.1;37.8;21.93
AL;2700300;Arapiraca;24.72;22.74;11.15
AL;2700409;Atalaia;43.43;36.62;16.39
AL;2700508;Barra de Santo Antônio;51.69;36.84;18.89
AL;2700607;Barra de São Miguel;38.13;20.09;9.21
AL;2700706;Batalha;43.33;33.7;14.89
AL;2700805;Belém;47.69;44.6;19.73
AL;2700904;Belo Monte;61.12;48.61;43.52
AL;2701001;Boca da Mata;31.9;31.81;15.82
AL;2701100;Branquinha;57.55;43.49;13.72
AL;2701209;Cacimbinhas;48.23;54.29;26.56
AL;2701308;Cajueiro;40.9;38.28;17.05
AL;2701357;Campestre;50.61;31.88;17.46
AL;2701407;Campo Alegre;32.82;35.81;18.66
AL;2701506;Campo Grande;71.96;56.23;39.94
AL;2701605;Canapi;59.11;64.93;43.44
AL;2701704;Capela;51.5;47.84;16.49
AL;2701803;Carneiros;54.07;51.36;32.31
AL;2701902;Chã Preta;60.9;51.51;23.42
AL;2702009;Coité do Nóia;50.55;50.62;32.43
AL;2702108;Colônia Leopoldina;50.79;39.31;22.18
AL;2702207;Coqueiro Seco;35.53;31.11;14.34
AL;2702306;Coruripe;31.72;28.65;16
AL;2702355;Craíbas;44.6;45.4;30.89
AL;2702405;Delmiro Gouveia;37.47;27.23;16.76
AL;2702504;Dois Riachos;47.09;39.95;33.71
AL;2702553;Estrela de Alagoas;51.98;55.12;31.5
AL;2702603;Feira Grande;46.62;47.72;30.9
AL;2702702;Feliz Deserto;39.41;37.02;17.64
AL;2702801;Flexeiras;43.12;39.8;19.56
AL;2702900;Girau do Ponciano;57.56;56.65;39.22
