Sigla,Código,Município,PIB Municipal - preços de mercado (preços de 2010) (1970),PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010) (1970),PIB Municipal (valor adicionado a preços básicos) - serviços (preços de 2010) (1970),PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010) (1970),
AC,1200013,Acrelândia,,,,,
AC,1200054,Assis Brasil,,,,,
AC,1200104,Brasiléia,29836.8075097194,1657.2050904559,17339.2196079239,10840.3828113396,
AC,1200138,Bujari,,,,,
AC,1200179,Capixaba,,,,,
AC,1200203,Cruzeiro do Sul,102844.138376524,9897.906697654,56215.1674735213,36731.0642053486,
AC,1200252,Epitaciolândia,,,,,
AC,1200302,Feijó,46140.7068277336,3914.8404808409,9926.2732618208,32299.5930850719,
AC,1200328,Jordão,,,,,
AC,1200336,Mâncio Lima,,,,,
AC,1200344,Manoel Urbano,,,,,
AC,1200351,Marechal Thaumaturgo,,,,,
AC,1200385,Plácido de Castro,,,,,
AC,1200393,Porto Walter,,,,,
AC,1200401,Rio Branco,463177.82420455,64180.4677070837,263110.651198955,135886.705298513,
AC,1200427,Rodrigues Alves,,,,,
AC,1200435,Santa Rosa do Purus,,,,,
AC,1200450,Senador Guiomard,,,,,
AC,1200500,Sena Madureira,103950.457611133,6885.1363688613,45736.7990452824,51328.5221969902,
AC,1200609,Tarauacá,70903.4180028063,3730.4397484976,26026.8293504915,41146.1489038172,
AC,1200708,Xapuri,83467.8877557432,2476.8740506786,50938.6071858198,30052.4065192448,
AC,1200807,Porto Acre,,,,,
AL,2700102,Água Branca,73383.499027812,1840.6136086468,63797.9919123811,7744.8935067844,
AL,2700201,Anadia,11053.136287153,801.8659901159,6125.2376648131,4126.032632224,
AL,2700300,Arapiraca,227786.322813986,27053.6445729052,92857.1014046222,107875.57683646,
AL,2700409,Atalaia,149522.921821878,57443.1736851256,31375.4428287996,60704.3053079535,
AL,2700508,Barra de Santo Antônio,19526.3886470353,2220.9889857963,5271.1470239795,12034.2526372595,
AL,2700607,Barra de São Miguel,2942.6962095976,105.0279731059,495.429112919,2342.2391235728,
AL,2700706,Batalha,80312.4315809548,4448.109554394,10567.7045398033,65296.6174867576,
AL,2700805,Belém,5754.2723839288,1076.0240912358,1418.5645837279,3259.683708965,
AL,2700904,Belo Monte,56135.9353400608,517.2656994564,3739.1985337905,51879.4711068139,
AL,2701001,Boca da Mata,59708.1624930439,26521.1998018294,9899.0196563778,23287.9430348367,
AL,2701100,Branquinha,23736.7337960752,7821.4448705582,4581.5604181029,11333.7285074141,
AL,2701209,Cacimbinhas,13115.8369871755,551.2415172414,4589.1745298887,7975.4209400452,
AL,2701308,Cajueiro,44916.0202135584,21342.6001527892,9318.5714010852,14254.848659684,
AL,2701357,Campestre,,,,,
AL,2701407,Campo Alegre,19830.9840226773,231.0205276481,9146.1124826417,10453.8510123877,
AL,2701506,Campo Grande,5921.121558224,111.4326281864,2926.6633256879,2883.0256043497,
AL,2701605,Canapi,6769.4372581415,176.3068740852,2297.427508142,4295.7028759146,
AL,2701704,Capela,44035.2954341088,10744.5546614177,11459.8812275547,21830.8595451365,
AL,2701803,Carneiros,2711.9020846094,174.4657824654,1772.7583735256,764.6779286183,
AL,2701902,Chã Preta,11190.8402791217,48.6506381534,3254.6901618978,7887.4994790706,
AL,2702009,Coité do Nóia,16192.1458974731,239.0194689269,9112.8688435829,6840.2575849634,
AL,2702108,Colônia Leopoldina,31441.676562911,12517.134604212,9238.2591993614,9686.2827593374,
AL,2702207,Coqueiro Seco,3189.7842973249,294.2870235163,1705.4925956312,1190.0046781775,
AL,2702306,Coruripe,81687.4028682766,33241.1643714472,12313.3085913673,36132.9299054621,
AL,2702355,Craíbas,,,,,
AL,2702405,Delmiro Gouveia,93628.9238358866,75894.4138588207,16097.2320411872,1637.2779358787,
AL,2702504,Dois Riachos,9543.1471492022,291.5140613336,1967.5877413032,7284.0453465652,
AL,2702553,Estrela de Alagoas,,,,,
AL,2702603,Feira Grande,23483.8260905899,180.6190671144,11796.4795879205,11506.727435555,
AL,2702702,Feliz Deserto,1976.7629535895,326.8719185116,976.1104255037,673.7806095742,
AL,2702801,Flexeiras,41855.2052897337,14580.0283678749,6861.0289853254,20414.1479365335,
AL,2702900,Girau do Ponciano,66627.1581550457,355.8718940927,19809.1100464658,46462.1762144872,
AL,2703007,Ibateguara,20779.3393950039,787.5938714517,5740.2932623922,14251.45226116,
AL,2703106,Igaci,11286.3847609193,486.2825915596,7624.3554789755,3175.7466903842,
AL,2703205,Igreja Nova,10647.0350457041,367.858400766,3670.2127321573,6608.9639127808,
AL,2703304,Inhapi,4850.6133841632,170.7277688126,2505.7593103267,2174.1263050239,
AL,2703403,Jacaré dos Homens,8639.5736890037,272.5787177956,2247.8929443575,6119.1020268505,
AL,2703502,Jacuípe,15338.7549320329,523.2350259099,4605.8710187296,10209.6488873934,
AL,2703601,Japaratinga,5131.7776036902,128.7396749919,1448.9723553722,3554.0655733262,
AL,2703700,Jaramataia,27582.11381741,11176.6825656052,1961.3536546023,14444.0775972025,
AL,2703759,Jequiá da Praia,,,,,
AL,2703809,Joaquim Gomes,33677.3729519103,7464.3007760623,8465.6958376544,17747.3763381936,
AL,2703908,Jundiá,16310.2252818468,588.185454837,3850.3973437624,11871.6424832474,
AL,2704005,Junqueiro,25879.744499147,4723.2175282954,7169.3309110188,13987.1960598327,
